total_trades,win_rate,wins,losses,net_profit,return_pct,sharpe,max_loss_streak,avg_rr,target_rr,squeeze_threshold,use_squeeze,cooldown_hours,time_blocks
15,66.66666666666666,10,5,-18.013339177779585,-5.003705327161011,-0.44118222756616976,2,-0.2449041585914051,2.0,1.5,False,0,"[0, 9, 14, 15]"
15,66.66666666666666,10,5,-18.013339177779585,-5.003705327161011,-0.44118222756616976,2,-0.2449041585914051,2.0,1.5,False,4,"[0, 9, 14, 15]"
15,66.66666666666666,10,5,-18.013339177779585,-5.003705327161011,-0.44118222756616976,2,-0.2449041585914051,2.0,1.8,False,0,"[0, 9, 14, 15]"
15,66.66666666666666,10,5,-18.013339177779585,-5.003705327161011,-0.44118222756616976,2,-0.2449041585914051,2.0,1.8,False,4,"[0, 9, 14, 15]"
16,56.25,9,7,-23.08166196189392,-6.411572767192805,-0.4595938766519255,3,-0.23551778068743234,2.5,1.3,False,0,"[8, 9, 10, 14, 15, 16]"
16,56.25,9,7,-23.08166196189392,-6.411572767192805,-0.4595938766519255,3,-0.23551778068743234,2.5,1.3,False,4,"[8, 9, 10, 14, 15, 16]"
16,56.25,9,7,-23.08166196189392,-6.411572767192805,-0.4595938766519255,3,-0.23551778068743234,2.5,1.5,False,0,"[8, 9, 10, 14, 15, 16]"
16,56.25,9,7,-23.08166196189392,-6.411572767192805,-0.4595938766519255,3,-0.23551778068743234,2.5,1.5,False,4,"[8, 9, 10, 14, 15, 16]"
16,56.25,9,7,-23.08166196189392,-6.411572767192805,-0.4595938766519255,3,-0.23551778068743234,2.5,1.8,False,0,"[8, 9, 10, 14, 15, 16]"
16,56.25,9,7,-23.08166196189392,-6.411572767192805,-0.4595938766519255,3,-0.23551778068743234,2.5,1.8,False,4,"[8, 9, 10, 14, 15, 16]"
10,70.0,7,3,-27.883441643410432,-7.745400456502914,-1.0184768944509213,2,-0.5529638907901585,1.5,1.8,True,0,[]
10,70.0,7,3,-27.883441643410432,-7.745400456502914,-1.0184768944509213,2,-0.5529638907901585,1.5,1.8,True,4,[]
15,66.66666666666666,10,5,-44.808256707128514,-12.446737974202351,-1.341316457691797,2,-0.5782374919247385,1.5,1.3,False,0,"[0, 9, 14, 15]"
15,66.66666666666666,10,5,-44.808256707128514,-12.446737974202351,-1.341316457691797,2,-0.5782374919247385,1.5,1.3,False,4,"[0, 9, 14, 15]"
15,66.66666666666666,10,5,-44.808256707128514,-12.446737974202351,-1.341316457691797,2,-0.5782374919247385,1.5,1.5,False,0,"[0, 9, 14, 15]"
15,66.66666666666666,10,5,-44.808256707128514,-12.446737974202351,-1.341316457691797,2,-0.5782374919247385,1.5,1.5,False,4,"[0, 9, 14, 15]"
15,66.66666666666666,10,5,-44.808256707128514,-12.446737974202351,-1.341316457691797,2,-0.5782374919247385,1.5,1.8,False,0,"[0, 9, 14, 15]"
15,66.66666666666666,10,5,-44.808256707128514,-12.446737974202351,-1.341316457691797,2,-0.5782374919247385,1.5,1.8,False,4,"[0, 9, 14, 15]"
16,56.25,9,7,-46.925438943662215,-13.034844151017289,-1.1159193214200667,3,-0.5167677806874325,2.0,1.3,False,0,"[8, 9, 10, 14, 15, 16]"
16,56.25,9,7,-46.925438943662215,-13.034844151017289,-1.1159193214200667,3,-0.5167677806874325,2.0,1.3,False,4,"[8, 9, 10, 14, 15, 16]"
16,56.25,9,7,-46.925438943662215,-13.034844151017289,-1.1159193214200667,3,-0.5167677806874325,2.0,1.5,False,0,"[8, 9, 10, 14, 15, 16]"
16,56.25,9,7,-46.925438943662215,-13.034844151017289,-1.1159193214200667,3,-0.5167677806874325,2.0,1.5,False,4,"[8, 9, 10, 14, 15, 16]"
16,56.25,9,7,-46.925438943662215,-13.034844151017289,-1.1159193214200667,3,-0.5167677806874325,2.0,1.8,False,0,"[8, 9, 10, 14, 15, 16]"
16,56.25,9,7,-46.925438943662215,-13.034844151017289,-1.1159193214200667,3,-0.5167677806874325,2.0,1.8,False,4,"[8, 9, 10, 14, 15, 16]"
16,62.5,10,6,-53.53135363824011,-14.869820455066677,-1.4088243072253825,3,-0.6336538810016896,1.5,1.3,False,0,"[8, 9, 10, 14, 15, 16]"
16,62.5,10,6,-53.53135363824011,-14.869820455066677,-1.4088243072253825,3,-0.6336538810016896,1.5,1.3,False,4,"[8, 9, 10, 14, 15, 16]"
16,62.5,10,6,-53.53135363824011,-14.869820455066677,-1.4088243072253825,3,-0.6336538810016896,1.5,1.5,False,0,"[8, 9, 10, 14, 15, 16]"
