Trade_Num,Entry_Time,Exit_Time,Direction,Entry_Price,Exit_Price,Stop_Loss,Take_Profit,Position_Size,Profit,Profit_Pct,Actual_RR,Exit_Reason,Balance,peak,drawdown
94,2025-12-04 20:00:00+00:00,2025-12-04 21:45:00+00:00,BUY,0.80332,0.80341,0.8023490427462311,0.8049619145075378,6295.515764557495,0.5665964188096927,0.15738789411380352,0.09269203113790264,Price (0.80341) crossed below EMA9 (0.80354),306.2004313095019,427.6049617121833,-0.28391749692651513
95,2025-12-04 20:15:00+00:00,2025-12-04 21:45:00+00:00,BUY,0.80358,0.80341,0.8026205396929288,0.8051989206141422,6382.763915355782,-1.0850698656105051,-0.3014082960029181,-0.17718294206348392,Price (0.80341) crossed below EMA9 (0.80354),305.1153614438914,427.6049617121833,-0.28645504901960994
96,2025-12-04 20:30:00+00:00,2025-12-04 21:45:00+00:00,BUY,0.80372,0.80341,0.8027612154291482,0.8053375691417035,6364.628107705976,-1.9730347133890591,-0.5480651981636275,-0.32332602069789373,Price (0.80341) crossed below EMA9 (0.80354),303.14232673050236,427.6049617121833,-0.29106920201140113
97,2025-12-05 06:30:00+00:00,2025-12-05 07:30:00+00:00,SELL,0.80259,0.80266,0.8032740043412312,0.8015219913175377,8863.754466378468,-0.6204628126466213,-0.17235078129072814,-0.10233853176138961,Price (0.80266) crossed above EMA9 (0.80263),302.52186391785574,427.6049617121833,-0.2925202207511328
98,2025-12-05 07:00:00+00:00,2025-12-05 07:30:00+00:00,SELL,0.80224,0.80266,0.8029814629268778,0.8010570741462442,8160.134592075292,-3.4272565286723324,-0.9520157024089813,-0.5664477410470639,Price (0.80266) crossed above EMA9 (0.80263),299.0946073891834,427.6049617121833,-0.30053522720697273
99,2025-12-10 13:45:00+00:00,2025-12-10 18:15:00+00:00,SELL,0.80327,0.80268,0.8043366777439064,0.8014366445121873,5607.965650316318,3.308699733687135,0.9190832593575374,0.5531192559051789,Price (0.80268) crossed above EMA9 (0.80253),302.40330712287056,427.6049617121833,-0.2927974785137894
100,2025-12-10 14:00:00+00:00,2025-12-10 18:15:00+00:00,SELL,0.80298,0.80268,0.8040697721907702,0.8011004556184597,5549.844447932554,1.6649533343801992,0.46248703732783314,0.27528689256425787,Price (0.80268) crossed above EMA9 (0.80253),304.06826045725074,427.6049617121833,-0.28890380682271855
101,2025-12-10 17:15:00+00:00,2025-12-10 18:15:00+00:00,SELL,0.80234,0.80268,0.8034089469141859,0.8005021061716285,5689.118073536054,-1.9343001450016664,-0.5373055958337962,-0.3180700514570168,Price (0.80268) crossed above EMA9 (0.80253),302.1339603122491,427.6049617121833,-0.29342737487781423
102,2025-12-10 17:45:00+00:00,2025-12-10 18:15:00+00:00,SELL,0.80222,0.80268,0.8032443981045786,0.8004712037908429,5898.7606275697035,-2.7134298886815027,-0.7537305246337508,-0.44904417329935864,Price (0.80268) crossed above EMA9 (0.80253),299.4205304235676,427.6049617121833,-0.29977302128429323
103,2025-12-10 19:00:00+00:00,2025-12-10 19:15:00+00:00,SELL,0.80167,0.8028573084418755,0.8028573084418755,0.7995953831162489,5043.685698900403,-5.9884106084713515,-1.663447391242042,-1.0,STOP_LOSS,293.43211981509626,427.6049617121833,-0.3137775608586073
