date,dir,entry,exit,result,r,pnl,equity,month
2025-12-03 18:30:00+00:00,SELL,58.0502,58.3812,EXIT_SMA,-0.55,-60.45,10927.77,2025-12
2025-12-04 04:25:00+00:00,SELL,58.3416,58.2614,EXIT_SMA,0.385,42.08,10969.85,2025-12
2025-12-04 05:25:00+00:00,SELL,58.032,58.2368,SL,-1.0,-109.7,10860.15,2025-12
2025-12-04 07:10:00+00:00,SELL,57.8646,57.4876,EXIT_SMA,0.9,97.75,10957.91,2025-12
2025-12-04 09:40:00+00:00,SELL,56.8658,57.3464,EXIT_SMA,-0.844,-92.45,10865.46,2025-12
2025-12-04 16:05:00+00:00,SELL,57.0466,57.0948,EXIT_SMA,-0.065,-7.1,10858.36,2025-12
2025-12-05 07:30:00+00:00,BUY,57.5972,58.1358,EXIT_SMA,1.868,202.82,11061.18,2025-12
2025-12-05 16:05:00+00:00,BUY,59.2189,58.6796,SL,-1.0,-110.61,10950.57,2025-12
2025-12-08 03:10:00+00:00,SELL,58.1868,57.9008,EXIT_SMA,0.664,72.67,11023.24,2025-12
2025-12-09 06:30:00+00:00,SELL,57.968,57.999,EXIT_SMA,-0.131,-14.42,11008.82,2025-12
2025-12-09 10:00:00+00:00,BUY,58.6494,58.5354,EXIT_SMA,-0.278,-30.59,10978.23,2025-12
2025-12-09 17:20:00+00:00,BUY,59.648,60.2325,EXIT_SMA,1.002,109.98,11088.21,2025-12
2025-12-10 00:20:00+00:00,BUY,60.7833,60.7162,EXIT_SMA,-0.221,-24.5,11063.71,2025-12
2025-12-10 02:15:00+00:00,BUY,60.9737,61.0135,EXIT_SMA,0.109,12.1,11075.81,2025-12
2025-12-10 08:05:00+00:00,BUY,61.598,61.4548,EXIT_SMA,-0.402,-44.47,11031.34,2025-12
2025-12-10 10:35:00+00:00,SELL,61.0226,61.057,EXIT_SMA,-0.082,-9.03,11022.31,2025-12
2025-12-10 15:55:00+00:00,SELL,60.5079,60.5495,EXIT_SMA,-0.079,-8.7,11013.61,2025-12
2025-12-11 02:15:00+00:00,BUY,62.1818,62.5348,EXIT_SMA,1.031,113.55,11127.15,2025-12
2025-12-11 05:00:00+00:00,SELL,61.8588,61.976,SL,-1.0,-111.27,11015.88,2025-12
2025-12-11 05:50:00+00:00,SELL,61.6248,61.8681,SL,-1.0,-110.16,10905.72,2025-12
2025-12-11 18:50:00+00:00,BUY,63.3718,64.0865,EXIT_SMA,1.427,155.59,11061.31,2025-12
2025-12-12 00:45:00+00:00,SELL,63.3766,63.3222,EXIT_SMA,0.214,23.62,11084.93,2025-12
2025-12-12 02:45:00+00:00,BUY,63.8662,63.6099,SL,-1.0,-110.85,10974.09,2025-12
2025-12-12 09:30:00+00:00,BUY,64.2818,63.744,SL,-1.0,-109.74,10864.34,2025-12
2025-12-12 17:20:00+00:00,SELL,63.4438,61.7103,EXIT_SMA,1.872,203.41,11067.76,2025-12
2025-12-15 03:10:00+00:00,BUY,62.6561,62.489,EXIT_SMA,-0.483,-53.47,11014.29,2025-12
2025-12-15 07:35:00+00:00,BUY,63.0688,63.1532,EXIT_SMA,0.276,30.44,11044.73,2025-12
2025-12-15 09:50:00+00:00,BUY,63.8476,63.6668,EXIT_SMA,-0.591,-65.31,10979.42,2025-12
2025-12-15 15:30:00+00:00,SELL,63.605,63.641,EXIT_SMA,-0.102,-11.21,10968.21,2025-12
2025-12-16 01:25:00+00:00,SELL,63.6898,63.8877,SL,-1.0,-109.68,10858.52,2025-12
2025-12-16 04:20:00+00:00,SELL,63.1116,62.7628,EXIT_SMA,0.528,57.36,10915.88,2025-12
2025-12-16 05:45:00+00:00,SELL,62.3644,62.71,SL,-1.0,-109.16,10806.73,2025-12
2025-12-16 14:55:00+00:00,BUY,63.4766,63.4902,EXIT_SMA,0.028,3.03,10809.76,2025-12
2025-12-17 00:55:00+00:00,BUY,63.9609,63.8105,SL,-1.0,-108.1,10701.66,2025-12
2025-12-17 06:15:00+00:00,BUY,64.4786,66.1411,EXIT_SMA,3.969,424.72,11126.38,2025-12
2025-12-17 14:50:00+00:00,SELL,65.2583,65.8381,EXIT_SMA,-0.697,-77.58,11048.8,2025-12
2025-12-17 23:15:00+00:00,SELL,66.1172,66.226,SL,-1.0,-110.49,10938.31,2025-12
2025-12-18 01:55:00+00:00,SELL,65.6306,66.2777,EXIT_SMA,-0.937,-102.49,10835.82,2025-12
2025-12-18 09:40:00+00:00,SELL,66.0312,66.1705,EXIT_SMA,-0.473,-51.25,10784.57,2025-12
2025-12-18 10:35:00+00:00,SELL,65.984,66.0985,SL,-1.0,-107.85,10676.72,2025-12
2025-12-18 13:30:00+00:00,SELL,65.9309,66.2196,SL,-1.0,-106.77,10569.96,2025-12
2025-12-18 15:30:00+00:00,SELL,65.416,65.7789,EXIT_SMA,-0.438,-46.28,10523.67,2025-12
2025-12-18 18:30:00+00:00,SELL,65.0096,65.3971,EXIT_SMA,-0.423,-44.5,10479.18,2025-12
2025-12-19 01:10:00+00:00,SELL,65.0932,65.497,EXIT_SMA,-0.995,-104.3,10374.88,2025-12
2025-12-19 02:30:00+00:00,SELL,65.1697,65.1722,EXIT_SMA,-0.006,-0.65,10374.23,2025-12
2025-12-19 03:20:00+00:00,SELL,64.741,65.0414,EXIT_SMA,-0.858,-89.04,10285.19,2025-12
2025-12-19 07:10:00+00:00,BUY,65.748,65.8198,EXIT_SMA,0.156,16.06,10301.25,2025-12
2025-12-19 12:25:00+00:00,SELL,65.671,65.9505,EXIT_SMA,-0.833,-85.83,10215.42,2025-12
2025-12-19 18:30:00+00:00,BUY,67.1262,67.1045,EXIT_SMA,-0.037,-3.77,10211.65,2025-12
2025-12-22 00:40:00+00:00,BUY,67.3351,67.443,EXIT_SMA,0.475,48.54,10260.19,2025-12
2025-12-22 05:10:00+00:00,BUY,68.1375,69.2278,EXIT_SMA,1.497,153.64,10413.84,2025-12
2025-12-23 00:05:00+00:00,BUY,68.9691,69.1126,EXIT_SMA,1.319,137.37,10551.2,2025-12
2025-12-23 01:20:00+00:00,BUY,69.457,69.1234,SL,-1.0,-105.51,10445.69,2025-12
2025-12-23 03:45:00+00:00,BUY,69.9072,69.6173,EXIT_SMA,-0.837,-87.42,10358.27,2025-12
2025-12-23 14:20:00+00:00,BUY,69.9606,70.1815,EXIT_SMA,0.507,52.47,10410.74,2025-12
2025-12-23 15:45:00+00:00,SELL,68.9642,69.7304,EXIT_SMA,-0.813,-84.65,10326.09,2025-12
2025-12-23 20:25:00+00:00,BUY,71.4388,71.2492,EXIT_SMA,-0.349,-36.01,10290.08,2025-12
2025-12-24 01:00:00+00:00,BUY,71.6821,71.7464,EXIT_SMA,0.213,21.92,10312.0,2025-12
2025-12-24 09:25:00+00:00,SELL,71.8394,71.8679,EXIT_SMA,-0.099,-10.21,10301.79,2025-12
2025-12-26 02:00:00+00:00,BUY,72.8474,74.4355,EXIT_SMA,1.527,157.33,10459.12,2025-12
2025-12-26 10:45:00+00:00,BUY,75.1258,74.9332,EXIT_SMA,-0.625,-65.33,10393.79,2025-12
2025-12-26 12:25:00+00:00,SELL,74.3838,74.3382,EXIT_SMA,0.08,8.27,10402.06,2025-12
2025-12-26 19:45:00+00:00,BUY,77.213,77.1149,EXIT_SMA,-0.215,-22.32,10379.74,2025-12
2025-12-29 00:05:00+00:00,BUY,77.7322,81.0005,EXIT_SMA,4.241,440.21,10819.95,2025-12
2025-12-29 02:00:00+00:00,SELL,75.5016,77.6144,EXIT_SMA,-0.385,-41.64,10778.31,2025-12
2025-12-29 04:20:00+00:00,BUY,80.437,79.7008,EXIT_SMA,-0.625,-67.32,10710.99,2025-12
2025-12-29 08:10:00+00:00,SELL,78.8833,76.4491,EXIT_SMA,1.455,155.88,10866.87,2025-12
2025-12-29 09:40:00+00:00,SELL,74.9394,75.7808,EXIT_SMA,-0.751,-81.62,10785.25,2025-12
2025-12-29 12:25:00+00:00,SELL,74.3602,75.2143,EXIT_SMA,-0.848,-91.49,10693.76,2025-12
2025-12-29 16:05:00+00:00,SELL,73.5495,71.9362,EXIT_SMA,1.233,131.8,10825.56,2025-12
2025-12-29 23:45:00+00:00,SELL,71.6222,72.2806,EXIT_SMA,-0.546,-59.07,10766.49,2025-12
2025-12-30 13:30:00+00:00,BUY,75.6444,75.606,EXIT_SMA,-0.05,-5.35,10761.14,2025-12
2025-12-30 18:30:00+00:00,BUY,77.0202,77.5389,EXIT_SMA,0.615,66.21,10827.35,2025-12
2025-12-30 21:05:00+00:00,SELL,76.1938,76.5387,EXIT_SMA,-0.259,-28.07,10799.28,2025-12
2025-12-31 01:00:00+00:00,SELL,75.3922,74.9765,EXIT_SMA,0.564,60.92,10860.19,2025-12
2025-12-31 05:25:00+00:00,SELL,74.2824,72.4246,EXIT_SMA,1.601,173.86,11034.05,2025-12
