date,dir,entry,exit,result,r,pnl,equity,month
2026-02-05 03:50:00+00:00,SELL,4944.67,4874.41,EXIT_SMA,1.133,125.7,11217.19,2026-02
2026-02-05 12:35:00+00:00,SELL,4820.71,4865.06,SL,-1.0,-112.17,11105.02,2026-02
2026-02-06 00:30:00+00:00,SELL,4768.42,4734.545,EXIT_SMA,0.821,91.21,11196.23,2026-02
2026-02-06 06:20:00+00:00,BUY,4886.025,4857.445,SL,-1.0,-111.96,11084.26,2026-02
2026-02-06 14:20:00+00:00,BUY,4925.745,4904.42,EXIT_SMA,-0.719,-79.73,11004.53,2026-02
2026-02-09 00:45:00+00:00,BUY,4988.27,5013.575,EXIT_SMA,0.858,94.4,11098.93,2026-02
2026-02-10 00:00:00+00:00,SELL,5035.24,5040.67,EXIT_SMA,-0.192,-21.33,11077.59,2026-02
2026-02-10 13:15:00+00:00,SELL,5029.815,5045.815,EXIT_SMA,-0.858,-95.06,10982.53,2026-02
2026-02-10 16:55:00+00:00,SELL,5030.51,5023.94,EXIT_SMA,0.142,15.6,10998.13,2026-02
2026-02-10 21:00:00+00:00,BUY,5036.01,5027.855,SL,-1.0,-109.98,10888.15,2026-02
2026-02-11 00:10:00+00:00,BUY,5048.125,5032.57,SL,-1.0,-108.88,10779.27,2026-02
2026-02-11 11:45:00+00:00,BUY,5072.25,5112.65,TP,5.0,538.96,11318.23,2026-02
2026-02-11 14:05:00+00:00,SELL,5049.755,5076.025,EXIT_SMA,-0.641,-72.55,11245.69,2026-02
2026-02-11 15:00:00+00:00,SELL,5045.965,5065.04,EXIT_SMA,-0.611,-68.73,11176.96,2026-02
2026-02-12 00:45:00+00:00,SELL,5063.375,5062.875,EXIT_SMA,0.015,1.69,11178.65,2026-02
2026-02-12 17:30:00+00:00,SELL,4951.365,4964.69,EXIT_SMA,-0.113,-12.68,11165.97,2026-02
2026-02-12 23:15:00+00:00,SELL,4892.55,4920.87,EXIT_SMA,-0.802,-89.61,11076.36,2026-02
2026-02-13 02:45:00+00:00,BUY,4972.175,4976.67,EXIT_SMA,0.423,46.86,11123.22,2026-02
2026-02-13 06:55:00+00:00,SELL,4946.555,4966.355,SL,-1.0,-111.23,11011.99,2026-02
2026-02-16 00:50:00+00:00,SELL,5015.865,5020.155,EXIT_SMA,-0.15,-16.54,10995.45,2026-02
2026-02-16 05:05:00+00:00,SELL,5009.21,4983.66,EXIT_SMA,1.642,180.55,11176.0,2026-02
2026-02-16 16:20:00+00:00,SELL,4973.885,4980.055,EXIT_SMA,-0.389,-43.44,11132.56,2026-02
2026-02-17 01:40:00+00:00,SELL,4978.63,4963.32,EXIT_SMA,0.964,107.3,11239.85,2026-02
2026-02-17 05:20:00+00:00,SELL,4944.555,4892.38,TP,5.0,561.99,11801.85,2026-02
2026-02-17 06:30:00+00:00,SELL,4900.79,4904.45,EXIT_SMA,-0.131,-15.41,11786.43,2026-02
2026-02-17 15:55:00+00:00,SELL,4870.96,4878.6,EXIT_SMA,-0.141,-16.62,11769.81,2026-02
2026-02-17 19:25:00+00:00,BUY,4899.165,4885.04,SL,-1.0,-117.7,11652.11,2026-02
2026-02-18 05:55:00+00:00,BUY,4925.48,4933.49,EXIT_SMA,1.059,123.38,11775.49,2026-02
2026-02-18 16:15:00+00:00,BUY,4943.36,4997.315,EXIT_SMA,3.491,411.09,12186.58,2026-02
2026-02-18 23:10:00+00:00,SELL,4976.125,4978.635,SL,-1.0,-121.87,12064.71,2026-02
2026-02-19 07:55:00+00:00,BUY,4990.51,5010.305,EXIT_SMA,3.004,362.4,12427.11,2026-02
2026-02-19 11:05:00+00:00,SELL,4991.79,4994.33,EXIT_SMA,-0.179,-22.28,12404.84,2026-02
2026-02-19 12:10:00+00:00,SELL,4987.495,4988.455,EXIT_SMA,-0.101,-12.56,12392.28,2026-02
2026-02-19 14:35:00+00:00,SELL,4979.6,4985.415,EXIT_SMA,-0.295,-36.56,12355.72,2026-02
2026-02-20 07:20:00+00:00,BUY,5014.925,5012.03,EXIT_SMA,-0.322,-39.77,12315.96,2026-02
2026-02-20 09:55:00+00:00,BUY,5039.13,5027.635,EXIT_SMA,-0.999,-123.0,12192.96,2026-02
2026-02-20 15:40:00+00:00,SELL,5022.1,5045.38,EXIT_SMA,-0.545,-66.43,12126.53,2026-02
2026-02-23 00:15:00+00:00,BUY,5117.9,5131.195,EXIT_SMA,0.81,98.22,12224.74,2026-02
2026-02-23 08:50:00+00:00,SELL,5136.73,5137.95,EXIT_SMA,-0.092,-11.29,12213.45,2026-02
2026-02-23 16:00:00+00:00,BUY,5183.965,5180.005,EXIT_SMA,-0.181,-22.06,12191.39,2026-02
2026-02-23 23:50:00+00:00,BUY,5243.295,5234.7,EXIT_SMA,-0.503,-61.28,12130.12,2026-02
2026-02-24 02:30:00+00:00,SELL,5213.435,5184.235,EXIT_SMA,1.532,185.88,12316.0,2026-02
2026-02-24 14:35:00+00:00,SELL,5151.465,5134.85,EXIT_SMA,0.764,94.04,12410.04,2026-02
2026-02-24 18:25:00+00:00,BUY,5167.345,5157.075,SL,-1.0,-124.1,12285.94,2026-02
2026-02-24 23:40:00+00:00,SELL,5135.76,5148.585,SL,-1.0,-122.86,12163.08,2026-02
