stage,stage_trades,stage_win_rate,stage_exp_R,stage_total_R,stage_roi_pct,stage_cagr_pct,stage_max_dd_pct,stage_cagr_dd,stage_sharpe_daily,stage_pf,stage_streak,stage_h1_R,stage_h2_R,stage_worst_R,base_trades,base_win_rate,base_exp_R,base_total_R,base_roi_pct,base_cagr_pct,base_max_dd_pct,base_cagr_dd,base_sharpe_daily,base_pf,base_streak,base_h1_R,base_h2_R,base_worst_R,d_roi,d_dd,d_totR,paired_n,changed,mean_dR,t,ci_lo,ci_hi,significant,config
BE 0.25R->0.0R,264,12.9,0.0985,26.0,27.27,8.48,-19.17,0.44,0.78,1.34,33,0.0909,0.1061,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-65.0,-0.53,-43.1,193,118,-0.3008,-2.72,-0.5175,-0.0841,True,candidate
BE 0.5R->-0.3R,229,21.4,0.1341,30.7,32.38,9.93,-18.57,0.53,0.77,1.26,16,0.0667,0.2009,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-59.89,0.07,-38.4,196,78,-0.2319,-2.67,-0.4021,-0.0618,True,candidate
BE 0.5R->-0.2R,232,19.4,0.1172,27.2,28.08,8.71,-18.7,0.47,0.72,1.25,16,0.0483,0.1862,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-64.19,-0.06,-41.9,195,81,-0.2628,-2.87,-0.4423,-0.0834,True,candidate
BE 0.5R->-0.1R,236,17.4,0.0953,22.5,22.42,7.07,-18.78,0.38,0.62,1.22,16,0.0297,0.161,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-69.85,-0.14,-46.6,195,84,-0.269,-2.85,-0.4537,-0.0843,True,candidate
BE 0.5R->0.0R,242,16.1,0.1033,25.0,25.63,8.01,-20.12,0.4,0.7,1.27,17,0.0496,0.157,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-66.64,-1.48,-44.1,195,87,-0.2721,-2.82,-0.4614,-0.0828,True,candidate
BE 0.75R->-0.3R,226,23.0,0.1588,35.9,39.21,11.82,-20.03,0.59,0.87,1.3,15,0.0558,0.2619,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-53.06,-1.39,-33.2,196,68,-0.2268,-2.74,-0.3893,-0.0643,True,candidate
BE 0.75R->-0.2R,228,21.5,0.1509,34.4,37.35,11.31,-18.98,0.6,0.87,1.31,15,0.0386,0.2632,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-54.92,-0.34,-34.7,196,71,-0.2411,-2.8,-0.41,-0.0721,True,candidate
BE 0.75R->-0.1R,230,20.0,0.1404,32.3,34.69,10.57,-17.92,0.59,0.84,1.31,15,0.0478,0.233,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-57.58,0.72,-36.8,195,73,-0.2582,-2.89,-0.4332,-0.0832,True,candidate
BE 0.75R->0.0R,234,19.7,0.1752,41.0,46.94,13.87,-19.27,0.72,1.04,1.42,16,0.094,0.2564,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-45.33,-0.63,-28.1,195,76,-0.2669,-2.91,-0.4468,-0.0871,True,candidate
BE 1.0R->-0.3R,224,24.1,0.1643,36.8,40.29,12.11,-17.38,0.7,0.88,1.29,15,0.0929,0.2357,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-51.98,1.26,-32.3,197,56,-0.2074,-2.7,-0.3578,-0.057,True,candidate
BE 1.0R->-0.2R,225,23.1,0.1627,36.6,40.16,12.07,-16.38,0.74,0.9,1.31,15,0.0929,0.2319,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-52.11,2.26,-32.5,197,58,-0.2114,-2.68,-0.3659,-0.057,True,candidate
BE 1.0R->-0.1R,227,22.5,0.1722,39.1,43.77,13.04,-15.37,0.85,0.96,1.34,15,0.1204,0.2237,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-48.5,3.27,-30.0,197,59,-0.1977,-2.49,-0.3532,-0.0423,True,candidate
BE 1.0R->0.0R,230,21.3,0.1696,39.0,43.76,13.03,-20.07,0.65,0.98,1.36,16,0.087,0.2522,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-48.51,-1.43,-30.1,197,63,-0.2287,-2.74,-0.3923,-0.0651,True,candidate
BE 1.5R->-0.3R,211,27.5,0.2292,48.4,57.15,16.48,-17.85,0.92,1.11,1.38,16,0.099,0.358,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-35.12,0.79,-20.7,201,37,-0.11,-1.86,-0.2258,0.0059,False,candidate
BE 1.5R->-0.2R,218,26.6,0.2186,47.7,56.03,16.21,-17.27,0.94,1.1,1.38,16,0.0936,0.3436,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-36.24,1.37,-21.4,201,38,-0.1075,-1.78,-0.2259,0.011,False,candidate
BE 1.5R->-0.1R,218,26.1,0.2236,48.8,57.84,16.66,-16.69,1.0,1.13,1.4,16,0.1156,0.3317,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-34.43,1.95,-20.3,201,39,-0.104,-1.69,-0.2247,0.0168,False,candidate
BE 1.5R->0.0R,218,26.1,0.2434,53.1,64.78,18.36,-16.1,1.14,1.23,1.45,16,0.1376,0.3491,-1.0,203,33.5,0.3402,69.1,92.27,24.69,-18.64,1.32,1.46,1.51,10,0.2277,0.4515,-1.0,-27.49,2.54,-16.0,201,39,-0.0846,-1.39,-0.2041,0.035,False,candidate
