stage,stage_trades,stage_win_rate,stage_exp_R,stage_total_R,stage_roi_pct,stage_cagr_pct,stage_max_dd_pct,stage_cagr_dd,stage_sharpe_daily,stage_pf,stage_streak,stage_h1_R,stage_h2_R,stage_worst_R,base_trades,base_win_rate,base_exp_R,base_total_R,base_roi_pct,base_cagr_pct,base_max_dd_pct,base_cagr_dd,base_sharpe_daily,base_pf,base_streak,base_h1_R,base_h2_R,base_worst_R,d_roi,d_dd,d_totR,paired_n,changed,mean_dR,t,ci_lo,ci_hi,significant,config
lock 1.25R->+0.75R cd0m,375,40.8,0.0177,6.6,3.01,1.0,-24.89,0.04,0.14,1.03,8,0.0063,0.0289,-1.39,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-32.27,-3.27,-28.1,243,66,-0.097,-1.42,-0.2308,0.0368,False,incumbent
lock 1.25R->+0.75R cd90m,357,40.3,0.0131,4.7,1.19,0.4,-25.68,0.02,0.1,1.02,8,0.0169,0.0095,-1.39,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-34.09,-4.06,-30.0,234,64,-0.0815,-1.17,-0.218,0.0551,False,incumbent
lock 1.25R->+1.0R cd0m,398,41.7,-0.0165,-6.6,-9.27,-3.23,-22.68,-0.14,-0.14,0.97,8,-0.0251,-0.0078,-1.39,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-44.55,-1.06,-41.3,239,78,-0.13,-1.75,-0.2753,0.0153,False,incumbent
lock 1.25R->+1.0R cd90m,379,40.6,-0.0305,-11.6,-13.62,-4.82,-24.2,-0.2,-0.26,0.95,8,0.0053,-0.0661,-1.39,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-48.9,-2.58,-46.3,238,79,-0.1389,-1.86,-0.2856,0.0078,False,incumbent
lock 1.5R->+0.0R cd0m,298,23.2,0.0828,24.7,23.0,7.24,-23.5,0.31,0.51,1.14,17,-0.0935,0.2591,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-12.28,-1.88,-10.0,250,37,-0.012,-0.28,-0.097,0.073,False,incumbent
lock 1.5R->+0.0R cd90m,304,22.0,0.0253,7.7,3.81,1.27,-34.78,0.04,0.16,1.04,19,-0.0719,0.1224,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-31.47,-13.16,-27.0,228,33,-0.0482,-1.0,-0.1428,0.0463,False,incumbent
lock 1.5R->+0.25R cd0m,306,39.2,0.0967,29.6,29.21,9.04,-26.07,0.35,0.61,1.16,8,-0.0638,0.2573,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-6.07,-4.45,-5.1,247,42,-0.0145,-0.29,-0.1117,0.0827,False,incumbent
lock 1.5R->+0.25R cd90m,316,38.0,0.0536,16.9,13.82,4.47,-35.54,0.13,0.34,1.09,8,-0.0059,0.113,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-21.46,-13.92,-17.8,234,37,-0.0588,-1.13,-0.1605,0.043,False,incumbent
lock 1.5R->+0.5R cd0m,326,41.4,0.1072,34.9,36.4,11.05,-19.1,0.58,0.74,1.18,8,0.0306,0.1837,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,1.12,2.52,0.2,247,48,-0.0324,-0.58,-0.1413,0.0766,False,incumbent
lock 1.5R->+0.5R cd90m,325,38.8,0.0308,10.0,6.5,2.15,-34.06,0.06,0.21,1.05,8,-0.0181,0.0794,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-28.78,-12.44,-24.7,234,44,-0.0598,-1.05,-0.1719,0.0522,False,incumbent
lock 1.5R->+0.75R cd0m,333,40.8,0.1147,38.2,40.94,12.28,-17.81,0.69,0.81,1.19,8,0.0707,0.1583,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,5.66,3.81,3.5,246,54,-0.0386,-0.64,-0.1562,0.079,False,incumbent
lock 1.5R->+0.75R cd90m,331,38.7,0.0393,13.0,9.83,3.22,-30.88,0.1,0.28,1.06,8,0.0231,0.0554,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-25.45,-9.26,-21.7,233,50,-0.0536,-0.88,-0.1736,0.0663,False,incumbent
lock 1.5R->+1.0R cd0m,342,40.1,0.06,20.5,18.55,5.91,-21.85,0.27,0.44,1.1,8,0.0472,0.0728,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-16.73,-0.23,-14.2,246,64,-0.065,-1.0,-0.1925,0.0624,False,incumbent
lock 1.5R->+1.0R cd90m,343,37.9,-0.0014,-0.5,-3.8,-1.3,-31.41,-0.04,-0.01,1.0,8,-0.0113,0.0084,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-39.08,-9.79,-35.2,237,61,-0.0759,-1.15,-0.205,0.0531,False,incumbent
lock 2.0R->+0.0R cd0m,283,25.1,0.1013,28.7,27.9,8.66,-25.77,0.34,0.59,1.16,12,-0.1556,0.3564,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-7.38,-4.15,-6.0,249,25,0.0201,0.62,-0.0435,0.0836,False,incumbent
lock 2.0R->+0.0R cd90m,285,24.2,0.055,15.7,12.36,4.01,-34.16,0.12,0.32,1.08,18,-0.1193,0.228,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-22.92,-12.54,-19.0,228,19,-0.0044,-0.13,-0.0706,0.0618,False,incumbent
lock 2.0R->+0.25R cd0m,288,35.8,0.101,29.1,28.52,8.84,-26.11,0.34,0.59,1.16,12,-0.1008,0.3029,-1.93,276,28.3,0.1256,34.7,35.28,10.74,-21.62,0.5,0.68,1.17,12,-0.0792,0.3305,-1.93,-6.76,-4.49,-5.6,251,31,-0.0053,-0.13,-0.0867,0.0761,False,incumbent
