symbol,timeframe,di_threshold,rr,di_persist,spread,period,di_slope,adx_rising,adx_min,atr_ratio,avoid_hours,filters,trades,win_rate,roi,sharpe,max_dd
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,True,20.0,1.2,"[20, 21, 22, 23]","di_slope, adx_rising, adx_min=20, atr_ratio=1.2, avoid=[20, 21, 22, 23]",54,31.5,13.96,2.17,-9.88
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,True,20.0,1.2,"[0, 1, 2, 3, 4, 5]","di_slope, adx_rising, adx_min=20, atr_ratio=1.2, avoid=[0, 1, 2, 3, 4, 5]",54,31.5,13.96,2.17,-9.88
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,False,20.0,1.0,"[7, 8]","adx_min=20, atr_ratio=1.0, avoid=[7, 8]",90,32.2,27.65,2.15,-13.18
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,True,0.0,1.0,,"adx_rising, atr_ratio=1.0",84,32.1,25.26,2.15,-9.72
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,25.0,1.0,"[0, 1, 2, 3, 4, 5]","di_slope, adx_min=25, atr_ratio=1.0, avoid=[0, 1, 2, 3, 4, 5]",66,31.8,18.35,2.15,-5.85
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,False,25.0,1.0,,"adx_min=25, atr_ratio=1.0",84,32.1,25.26,2.13,-13.38
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,True,15.0,0.0,"[7, 8, 20, 21, 22, 23]","adx_rising, adx_min=15, avoid=[7, 8, 20, 21, 22, 23]",106,32.1,32.5,2.13,-12.4
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,True,20.0,0.0,"[7, 21, 22, 23]","adx_rising, adx_min=20, avoid=[7, 21, 22, 23]",118,32.2,37.6,2.11,-13.28
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,True,15.0,0.0,[7],"di_slope, adx_rising, adx_min=15, avoid=[7]",95,31.6,26.3,2.11,-8.65
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,True,20.0,0.0,"[7, 8, 20, 21, 22, 23]","adx_rising, adx_min=20, avoid=[7, 8, 20, 21, 22, 23]",115,32.2,36.31,2.1,-16.65
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,True,15.0,0.0,"[7, 8, 21, 22, 23]","di_slope, adx_rising, adx_min=15, avoid=[7, 8, 21, 22, 23]",89,31.5,23.93,2.1,-7.89
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,False,20.0,1.2,"[21, 22, 23]","adx_min=20, atr_ratio=1.2, avoid=[21, 22, 23]",70,31.4,18.28,2.09,-10.63
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,False,20.0,1.2,"[20, 21, 22, 23]","adx_min=20, atr_ratio=1.2, avoid=[20, 21, 22, 23]",70,31.4,18.28,2.09,-10.63
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,False,25.0,1.0,"[7, 8, 21, 22, 23]","adx_min=25, atr_ratio=1.0, avoid=[7, 8, 21, 22, 23]",81,32.1,24.08,2.09,-11.68
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,True,15.0,0.0,[7],"adx_rising, adx_min=15, avoid=[7]",100,32.0,30.01,2.08,-10.52
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,15.0,0.0,"[7, 8, 21, 22, 23]","di_slope, adx_min=15, avoid=[7, 8, 21, 22, 23]",89,31.5,23.93,2.08,-8.65
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,True,20.0,0.0,"[7, 21, 22, 23]","di_slope, adx_rising, adx_min=20, avoid=[7, 21, 22, 23]",101,31.7,28.71,2.08,-7.94
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,0.0,1.0,"[21, 22, 23]","di_slope, atr_ratio=1.0, avoid=[21, 22, 23]",76,31.6,20.54,2.07,-8.81
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,0.0,1.0,"[20, 21, 22, 23]","di_slope, atr_ratio=1.0, avoid=[20, 21, 22, 23]",76,31.6,20.54,2.07,-8.81
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,True,20.0,0.0,,"adx_rising, adx_min=20",115,32.2,36.31,2.06,-13.28
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,True,0.0,1.0,[7],"adx_rising, atr_ratio=1.0, avoid=[7]",82,31.7,22.84,2.05,-8.81
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,0.0,1.0,"[7, 8]","di_slope, atr_ratio=1.0, avoid=[7, 8]",73,31.5,19.4,2.05,-8.92
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,15.0,1.0,"[7, 8]","di_slope, adx_min=15, atr_ratio=1.0, avoid=[7, 8]",73,31.5,19.4,2.05,-8.92
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,15.0,1.0,"[7, 21, 22, 23]","di_slope, adx_min=15, atr_ratio=1.0, avoid=[7, 21, 22, 23]",73,31.5,19.4,2.04,-8.81
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,True,0.0,1.0,"[7, 8]","di_slope, adx_rising, atr_ratio=1.0, avoid=[7, 8]",70,31.4,18.28,2.04,-10.57
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,True,15.0,1.0,"[7, 8]","di_slope, adx_rising, adx_min=15, atr_ratio=1.0, avoid=[7, 8]",70,31.4,18.28,2.04,-10.57
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,True,15.0,1.0,"[7, 8]","adx_rising, adx_min=15, atr_ratio=1.0, avoid=[7, 8]",79,31.6,21.68,2.03,-8.7
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,True,20.0,1.0,"[20, 21, 22, 23]","adx_rising, adx_min=20, atr_ratio=1.0, avoid=[20, 21, 22, 23]",91,31.9,26.38,2.03,-14.96
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,True,20.0,1.0,"[7, 8, 20, 21, 22, 23]","adx_rising, adx_min=20, atr_ratio=1.0, avoid=[7, 8, 20, 21, 22, 23]",88,31.8,25.19,2.02,-14.96
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,True,25.0,0.0,,"adx_rising, adx_min=25",104,31.7,29.94,2.0,-14.2
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,True,0.0,1.0,"[7, 8, 21, 22, 23]","di_slope, adx_rising, atr_ratio=1.0, avoid=[7, 8, 21, 22, 23]",67,31.3,17.17,2.0,-10.57
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,True,0.0,1.0,"[7, 8, 20, 21, 22, 23]","di_slope, adx_rising, atr_ratio=1.0, avoid=[7, 8, 20, 21, 22, 23]",67,31.3,17.17,2.0,-10.57
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,True,15.0,1.0,"[7, 8, 21, 22, 23]","di_slope, adx_rising, adx_min=15, atr_ratio=1.0, avoid=[7, 8, 21, 22, 23]",67,31.3,17.17,2.0,-10.57
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,True,15.0,1.0,"[7, 8, 20, 21, 22, 23]","di_slope, adx_rising, adx_min=15, atr_ratio=1.0, avoid=[7, 8, 20, 21, 22, 23]",67,31.3,17.17,2.0,-10.57
