Strategy,Entry_Time,Exit_Time,Direction,PnL,Balance,Exit_Reason,PnL_Pct
DailyORB,2025-12-10 20:00:00+00:00,2025-12-11 15:40:00+00:00,BUY,16.63328366999754,358.2169714077991,TAKE_PROFIT,4.620356574999317
SilverMomentum,2025-12-10 21:00:00+00:00,2025-12-11 18:10:00+00:00,BUY,16.815088842436616,375.03206025023576,TAKE_PROFIT,4.670858011787949
SilverMomentum,2025-12-12 13:00:00+00:00,2025-12-12 15:15:00+00:00,BUY,-7.7983010910225286,367.2337591592132,STOP_LOSS,-2.166194747506258
SilverMomentum,2025-12-11 15:00:00+00:00,2025-12-12 15:55:00+00:00,BUY,-7.0869328340816145,360.1468263251316,STOP_LOSS,-1.9685924539115596
SilverMomentum,2025-12-16 14:00:00+00:00,2025-12-17 03:00:00+00:00,BUY,17.731196095266622,377.8780224203982,TAKE_PROFIT,4.925332248685173
SilverMomentum,2025-12-17 17:00:00+00:00,2025-12-18 01:25:00+00:00,BUY,-7.834248324883717,370.0437740955145,STOP_LOSS,-2.176180090245477
SilverMomentum,2025-12-23 13:00:00+00:00,2025-12-23 14:30:00+00:00,BUY,-7.779619201771258,362.26415489374324,STOP_LOSS,-2.1610053338253494
DailyORB,2025-12-23 17:00:00+00:00,2025-12-24 01:35:00+00:00,BUY,17.592401102558377,379.8565559963016,TAKE_PROFIT,4.886778084043994
SilverSniper,2025-12-23 23:05:00+00:00,2025-12-24 14:40:00+00:00,BUY,-8.11326402014137,371.74329197616026,STOP_LOSS,-2.2536844500392696
SilverMomentum,2025-12-23 16:00:00+00:00,2025-12-25 23:35:00+00:00,BUY,17.830628469055814,389.57392044521606,TAKE_PROFIT,4.952952352515504
SilverSniper,2025-12-26 08:45:00+00:00,2025-12-26 11:10:00+00:00,BUY,-8.724959674581124,380.84896077063496,STOP_LOSS,-2.423599909605868
SilverMomentum,2025-12-26 16:00:00+00:00,2025-12-28 23:00:00+00:00,BUY,18.816609562783313,399.66557033341826,TAKE_PROFIT,5.226835989662031
SilverSniper,2025-12-29 11:45:00+00:00,2025-12-29 13:00:00+00:00,SELL,-8.697935821685707,390.96763451173257,STOP_LOSS,-2.4160932838015854
DailyORB,2025-12-30 16:45:00+00:00,2025-12-30 19:50:00+00:00,BUY,-8.256550237719173,382.7110842740134,STOP_LOSS,-2.2934861771442145
SilverSniper,2026-01-02 05:15:00+00:00,2026-01-02 14:40:00+00:00,BUY,-8.571235180645663,374.13984909336773,STOP_LOSS,-2.380898661290462
SilverMomentum,2026-01-05 14:00:00+00:00,2026-01-06 16:30:00+00:00,BUY,18.489716277113445,392.62956537048115,TAKE_PROFIT,5.136032299198179
DailyORB,2026-01-06 20:45:00+00:00,2026-01-07 01:10:00+00:00,BUY,-8.37540702515948,384.2541583453217,STOP_LOSS,-2.326501951433189
SilverMomentum,2026-01-06 14:00:00+00:00,2026-01-07 05:40:00+00:00,BUY,-7.691936772038934,376.5622215732827,STOP_LOSS,-2.136649103344148
SilverMomentum,2026-01-12 13:00:00+00:00,2026-01-12 14:25:00+00:00,BUY,-7.756942976372688,368.80527859691006,STOP_LOSS,-2.1547063823257466
SilverMomentum,2026-01-12 16:00:00+00:00,2026-01-12 23:10:00+00:00,BUY,-7.581744643997127,361.22353395291293,STOP_LOSS,-2.1060401788880907
SilverMomentum,2026-01-13 13:00:00+00:00,2026-01-13 20:30:00+00:00,BUY,-7.440414579915191,353.78311937299776,STOP_LOSS,-2.06678182775422
SilverSniper,2026-01-14 03:50:00+00:00,2026-01-14 04:15:00+00:00,BUY,20.379037574797454,374.1621569477952,TAKE_PROFIT,5.6608437707770705
