symbol,timeframe,di_threshold,rr,di_persist,spread,period,trades,wins,win_rate,roi,sharpe,max_dd
GBP_JPY,15m,30.0,2.0,1,0.018,2025-12-03 → 2026-02-27,108,42,38.9,18.34,1.71,-8.87
GBP_JPY,15m,30.0,2.0,2,0.018,2025-12-03 → 2026-02-27,94,34,36.2,7.28,0.8,-8.7
GBP_JPY,15m,30.0,2.5,1,0.018,2025-12-03 → 2026-02-27,104,35,33.7,18.62,1.56,-8.31
GBP_JPY,15m,30.0,2.5,2,0.018,2025-12-03 → 2026-02-27,82,22,26.8,-5.8,-0.74,-13.13
GBP_JPY,15m,30.0,3.0,1,0.018,2025-12-03 → 2026-02-27,65,19,29.2,10.44,1.36,-10.47
GBP_JPY,15m,30.0,3.0,2,0.018,2025-12-03 → 2026-02-27,73,14,19.2,-16.4,-2.37,-19.46
GBP_JPY,15m,30.0,3.5,1,0.018,2025-12-03 → 2026-02-27,52,15,28.8,15.51,2.12,-11.36
GBP_JPY,15m,30.0,3.5,2,0.018,2025-12-03 → 2026-02-27,67,11,16.4,-16.84,-2.59,-17.42
GBP_JPY,15m,30.0,4.0,1,0.018,2025-12-03 → 2026-02-27,37,10,27.0,12.85,2.4,-7.73
GBP_JPY,15m,30.0,4.0,2,0.018,2025-12-03 → 2026-02-27,49,10,20.4,0.02,0.0,-15.71
GBP_JPY,15m,30.0,4.5,1,0.018,2025-12-03 → 2026-02-27,34,8,23.5,9.51,1.87,-7.73
GBP_JPY,15m,30.0,4.5,2,0.018,2025-12-03 → 2026-02-27,63,8,12.7,-18.18,-2.73,-19.31
GBP_JPY,15m,30.0,5.0,1,0.018,2025-12-03 → 2026-02-27,49,10,20.4,10.07,1.38,-11.36
GBP_JPY,15m,30.0,5.0,2,0.018,2025-12-03 → 2026-02-27,53,7,13.2,-11.38,-1.79,-15.71
GBP_JPY,15m,35.0,1.5,1,0.018,2025-12-03 → 2026-02-27,71,28,39.4,-1.52,-0.28,-9.63
GBP_JPY,15m,35.0,1.5,2,0.018,2025-12-03 → 2026-02-27,63,21,33.3,-10.37,-2.3,-12.12
GBP_JPY,15m,35.0,2.0,1,0.018,2025-12-03 → 2026-02-27,67,24,35.8,4.4,0.71,-8.68
GBP_JPY,15m,35.0,2.0,2,0.018,2025-12-03 → 2026-02-27,50,15,30.0,-5.33,-1.25,-7.81
GBP_JPY,15m,35.0,2.5,1,0.018,2025-12-03 → 2026-02-27,53,16,30.2,2.35,0.43,-8.47
GBP_JPY,15m,35.0,2.5,2,0.018,2025-12-03 → 2026-02-27,45,12,26.7,-3.47,-0.8,-10.05
GBP_JPY,15m,35.0,3.0,1,0.018,2025-12-03 → 2026-02-27,48,13,27.1,3.3,0.61,-8.92
GBP_JPY,15m,35.0,3.0,2,0.018,2025-12-03 → 2026-02-27,34,7,20.6,-6.24,-1.86,-11.52
GBP_JPY,15m,35.0,3.5,1,0.018,2025-12-03 → 2026-02-27,38,10,26.3,6.46,1.33,-7.73
GBP_JPY,15m,35.0,3.5,2,0.018,2025-12-03 → 2026-02-27,28,6,21.4,-1.46,-0.46,-9.18
GBP_JPY,15m,35.0,4.0,1,0.018,2025-12-03 → 2026-02-27,43,9,20.9,1.13,0.2,-7.91
GBP_JPY,15m,35.0,4.0,2,0.018,2025-12-03 → 2026-02-27,33,5,15.2,-8.18,-2.26,-8.92
GBP_JPY,15m,35.0,4.5,1,0.018,2025-12-03 → 2026-02-27,42,7,16.7,-4.27,-0.8,-8.87
GBP_JPY,15m,35.0,4.5,2,0.018,2025-12-03 → 2026-02-27,24,4,16.7,-2.46,-0.8,-8.3
GBP_JPY,15m,35.0,5.0,1,0.018,2025-12-03 → 2026-02-27,30,5,16.7,-0.73,-0.18,-6.79
GBP_JPY,15m,35.0,5.0,2,0.018,2025-12-03 → 2026-02-27,23,4,17.4,0.42,0.13,-6.93
