rr,di,persist,adx_min,adx_rising,atr_ratio,di_slope,avoid_hours,trades,wins,win_rate,roi,sharpe,max_dd,avg_r
3.5,35,3,25,False,1.2,True,plus9,16,9,56.2,27.03,10.36,-1.0,1.689
3.5,35,3,25,False,1.2,True,current,16,9,56.2,27.03,10.36,-1.0,1.689
3.5,35,3,25,True,1.2,True,plus6,16,9,56.2,27.03,10.36,-1.0,1.689
3.5,35,3,25,True,1.2,True,plus9,16,9,56.2,27.03,10.36,-1.0,1.689
3.0,35,3,20,False,1.2,True,plus6,17,10,58.8,25.26,10.33,-1.99,1.486
3.0,35,3,0,False,1.2,True,none,17,10,58.8,25.26,10.33,-1.99,1.486
3.0,35,3,0,False,1.2,True,plus9,17,10,58.8,25.26,10.33,-1.99,1.486
3.0,35,3,0,False,1.2,True,current,17,10,58.8,25.26,10.33,-1.99,1.486
3.0,35,3,0,False,1.2,True,plus6,17,10,58.8,25.26,10.33,-1.99,1.486
3.0,35,3,0,True,1.2,True,plus6,17,10,58.8,25.26,10.33,-1.99,1.486
3.0,35,3,0,False,1.2,True,long_london,17,10,58.8,25.26,10.33,-1.99,1.486
3.0,35,3,20,False,1.2,True,plus9,17,10,58.8,25.26,10.33,-1.99,1.486
3.0,35,3,20,False,1.2,True,current,17,10,58.8,25.26,10.33,-1.99,1.486
3.0,35,3,20,True,1.2,True,long_london,17,10,58.8,25.26,10.33,-1.99,1.486
3.0,35,3,20,True,1.2,True,none,17,10,58.8,25.26,10.33,-1.99,1.486
3.0,35,3,20,False,1.2,True,long_london,17,10,58.8,25.26,10.33,-1.99,1.486
3.0,35,3,20,True,1.2,True,plus9,17,10,58.8,25.26,10.33,-1.99,1.486
3.0,35,3,20,True,1.2,True,current,17,10,58.8,25.26,10.33,-1.99,1.486
3.0,35,3,0,True,1.2,True,plus9,17,10,58.8,25.26,10.33,-1.99,1.486
3.0,35,3,0,True,1.2,True,current,17,10,58.8,25.26,10.33,-1.99,1.486
3.0,35,3,0,True,1.2,True,none,17,10,58.8,25.26,10.33,-1.99,1.486
3.0,35,3,20,False,1.2,True,none,17,10,58.8,25.26,10.33,-1.99,1.486
3.0,35,3,0,True,1.2,True,long_london,17,10,58.8,25.26,10.33,-1.99,1.486
3.0,35,3,20,True,1.2,True,plus6,17,10,58.8,25.26,10.33,-1.99,1.486
3.5,35,3,0,False,1.2,True,deep_prelondon,16,9,56.2,27.03,10.3,-1.99,1.689
3.5,35,3,20,True,1.2,True,deep_prelondon,16,9,56.2,27.03,10.3,-1.99,1.689
3.5,35,3,0,True,1.2,True,deep_prelondon,16,9,56.2,27.03,10.3,-1.99,1.689
3.5,35,3,20,False,1.2,True,deep_prelondon,16,9,56.2,27.03,10.3,-1.99,1.689
4.0,35,2,25,True,1.2,True,plus20,17,9,52.9,31.34,10.1,-1.99,1.843
4.0,35,2,25,False,1.2,True,plus20,17,9,52.9,31.34,10.1,-1.99,1.843
4.0,35,3,20,False,1.2,True,eu_open,13,7,53.8,23.89,10.08,-2.97,1.838
4.0,35,3,0,False,1.2,True,eu_open,13,7,53.8,23.89,10.08,-2.97,1.838
4.0,35,3,0,True,1.2,True,eu_open,13,7,53.8,23.89,10.08,-2.97,1.838
4.0,35,3,20,True,1.2,True,eu_open,13,7,53.8,23.89,10.08,-2.97,1.838
4.0,35,3,0,True,1.2,True,plus20,15,8,53.3,27.56,10.04,-1.99,1.837
4.0,35,3,20,False,1.2,True,plus20,15,8,53.3,27.56,10.04,-1.99,1.837
4.0,35,3,20,True,1.2,True,plus20,15,8,53.3,27.56,10.04,-1.99,1.837
