di_threshold,di_persist,adx_min,adx_rising,atr_ratio_min,di_slope,di_spread_min,body_ratio_min,avoid,sma_ordered,rsi_filter,target_rr,fit_trades,fit_win_rate,fit_exp_R,fit_total_R,fit_roi_pct,fit_cagr_pct,fit_max_dd_pct,fit_cagr_dd,fit_sharpe_daily,fit_pf,fit_streak,fit_h1_R,fit_h2_R,fit_worst_R,oos_trades,oos_win_rate,oos_exp_R,oos_total_R,oos_roi_pct,oos_cagr_pct,oos_max_dd_pct,oos_cagr_dd,oos_sharpe_daily,oos_pf,oos_streak,oos_h1_R,oos_h2_R,oos_worst_R,all_trades,all_win_rate,all_exp_R,all_total_R,all_roi_pct,all_cagr_pct,all_max_dd_pct,all_cagr_dd,all_sharpe_daily,all_pf,all_streak,all_h1_R,all_h2_R,all_worst_R
30.0,1,20.0,False,1.2,False,20.0,0.0,none,True,True,3.0,255,25.9,0.0358,9.1,5.39,2.33,-26.52,0.09,0.21,1.05,13,0.196,-0.1232,-1.11,83,27.7,0.0976,8.1,7.01,10.45,-10.68,0.98,0.56,1.13,10,0.1489,0.0476,-1.9,338,26.3,0.051,17.2,12.77,4.14,-26.52,0.16,0.3,1.07,13,0.1605,-0.0586,-1.9
30.0,1,20.0,False,1.2,False,20.0,0.0,none,True,True,3.5,248,22.6,0.0153,3.8,-0.52,-0.23,-25.43,-0.01,0.08,1.02,13,0.1234,-0.0927,-1.11,83,26.5,0.182,15.1,14.42,21.84,-9.56,2.28,0.93,1.24,10,0.1855,0.1786,-1.9,331,23.6,0.0571,18.9,13.82,4.47,-25.43,0.18,0.31,1.07,13,0.117,-0.0024,-1.9
30.0,1,20.0,False,1.2,True,0.0,0.0,none,False,False,2.5,345,27.5,-0.0361,-12.4,-15.32,-7.03,-28.94,-0.24,-0.29,0.95,11,-0.0861,0.0137,-1.2,117,29.9,0.0347,4.1,2.58,3.81,-11.51,0.33,0.28,1.05,10,0.001,0.0678,-1.89,462,28.1,-0.0181,-8.4,-13.14,-4.64,-28.94,-0.16,-0.15,0.97,11,-0.0906,0.0544,-1.89
30.0,1,20.0,False,1.2,True,0.0,0.0,none,False,False,3.0,287,21.6,-0.137,-39.3,-35.07,-17.25,-46.74,-0.37,-0.96,0.83,19,-0.163,-0.1111,-1.2,115,27.0,0.0657,7.6,5.91,8.79,-11.78,0.75,0.47,1.09,11,0.0975,0.0345,-1.89,402,23.1,-0.079,-31.8,-31.23,-11.87,-46.74,-0.25,-0.56,0.9,19,-0.2653,0.1072,-1.89
30.0,1,20.0,False,1.2,True,0.0,0.0,none,False,False,3.5,248,20.2,-0.094,-23.3,-23.9,-11.29,-39.11,-0.29,-0.54,0.88,19,-0.1679,-0.0202,-1.2,98,24.5,0.0857,8.4,6.79,10.12,-11.27,0.9,0.52,1.11,11,0.1612,0.0102,-1.89,346,21.4,-0.0431,-14.9,-18.73,-6.76,-39.11,-0.17,-0.25,0.95,19,-0.1955,0.1092,-1.89
30.0,1,20.0,False,1.2,True,0.0,0.0,none,False,True,2.5,330,27.6,-0.0347,-11.4,-14.32,-6.55,-27.91,-0.23,-0.26,0.95,12,-0.0262,-0.0432,-1.2,110,27.3,-0.0455,-5.0,-6.13,-8.86,-10.37,-0.85,-0.38,0.94,10,-0.1091,0.0182,-1.0,440,27.5,-0.0374,-16.4,-19.57,-7.09,-27.91,-0.25,-0.29,0.95,12,-0.0611,-0.0136,-1.2
30.0,1,20.0,False,1.2,True,0.0,0.0,none,False,True,3.0,282,23.8,-0.0508,-14.3,-16.77,-7.73,-31.66,-0.24,-0.34,0.93,18,-0.0093,-0.0922,-1.2,106,26.4,0.0566,6.0,4.47,6.62,-9.56,0.69,0.39,1.08,10,0.1321,-0.0189,-1.0,388,24.5,-0.0214,-8.3,-13.05,-4.61,-31.66,-0.15,-0.14,0.97,18,-0.0944,0.0515,-1.2
30.0,1,20.0,False,1.2,True,0.0,0.0,none,False,True,3.5,244,21.7,-0.0238,-5.8,-9.47,-4.27,-23.07,-0.19,-0.13,0.97,18,-0.0805,0.0328,-1.2,96,25.0,0.125,12.0,10.74,16.14,-10.08,1.6,0.74,1.17,10,0.125,0.125,-1.0,340,22.6,0.0182,6.2,0.25,0.08,-23.07,0.0,0.1,1.02,18,-0.1019,0.1382,-1.2
30.0,1,20.0,False,1.2,True,0.0,0.0,none,True,False,2.5,252,30.2,0.0556,14.0,11.38,4.84,-20.76,0.23,0.36,1.08,10,0.1111,0.0,-1.0,90,34.4,0.1994,17.9,18.16,27.73,-7.97,3.48,1.35,1.3,6,0.2321,0.1667,-1.39,342,31.3,0.0934,31.9,31.61,9.71,-20.76,0.47,0.62,1.14,10,0.0439,0.1429,-1.39
30.0,1,20.0,False,1.2,True,0.0,0.0,none,True,False,3.0,222,27.0,0.0811,18.0,15.65,6.58,-19.65,0.33,0.45,1.11,11,0.1532,0.009,-1.0,85,25.9,0.0287,2.4,1.15,1.7,-15.06,0.11,0.18,1.04,11,0.0343,0.0233,-1.39,307,26.7,0.0666,20.4,16.98,5.44,-19.65,0.28,0.38,1.09,11,0.0719,0.0613,-1.39
