symbol,tf,rr,be_trigger,be_level,lock,trades,win_rate,roi,sharpe,max_dd,avg_r,pct_tp,pct_lock,pct_be,pct_fullloss,giveback_3R,d_sharpe,d_roi,base_sharpe,base_roi
USD_JPY,15m,3.0,1.5,0.0,none,276,18.1,-9.31,-0.74,-16.3,-0.065,18.1,0.0,38.4,61.6,1,-1.81,-23.91,1.07,14.6
BCO_USD,15m,5.0,0.25,-0.3,2.0->1.0,335,23.0,20.06,0.64,-12.34,0.063,5.4,17.6,55.5,21.5,0,-0.99,-29.65,1.63,49.71
BCO_USD,15m,5.0,0.25,-0.2,2.0->1.0,372,19.6,18.17,0.56,-13.47,0.053,4.8,14.8,58.3,22.0,0,-1.07,-31.54,1.63,49.71
BCO_USD,15m,5.0,0.25,-0.1,2.0->1.0,414,16.2,10.44,0.33,-13.82,0.03,3.9,12.3,61.4,22.5,0,-1.3,-39.27,1.63,49.71
BCO_USD,15m,5.0,0.25,0.0,2.0->1.0,517,12.8,17.65,0.49,-13.3,0.037,3.1,9.7,65.8,21.5,0,-1.14,-32.06,1.63,49.71
BCO_USD,15m,5.0,0.5,-0.3,2.0->1.0,247,27.1,31.25,1.08,-13.8,0.122,7.7,19.4,38.9,34.0,0,-0.55,-18.46,1.63,49.71
BCO_USD,15m,5.0,0.5,-0.2,2.0->1.0,279,25.1,23.69,0.81,-13.2,0.087,6.5,18.6,40.9,34.1,0,-0.82,-26.02,1.63,49.71
BCO_USD,15m,5.0,0.5,-0.1,2.0->1.0,309,22.0,13.29,0.47,-11.95,0.049,5.2,16.8,44.7,33.3,0,-1.16,-36.42,1.63,49.71
BCO_USD,15m,5.0,0.5,0.0,2.0->1.0,338,20.1,6.82,0.26,-11.69,0.027,3.8,16.3,47.0,32.8,0,-1.37,-42.89,1.63,49.71
BCO_USD,15m,5.0,0.75,-0.3,2.0->1.0,234,28.2,24.25,0.89,-11.47,0.106,8.5,19.7,28.6,43.2,0,-0.74,-25.46,1.63,49.71
BCO_USD,15m,5.0,0.75,-0.2,2.0->1.0,250,26.0,22.15,0.82,-10.62,0.093,8.0,18.0,31.6,42.4,0,-0.81,-27.56,1.63,49.71
BCO_USD,15m,5.0,0.75,-0.1,2.0->1.0,259,24.3,21.09,0.78,-9.72,0.086,7.3,17.0,34.0,41.7,0,-0.85,-28.62,1.63,49.71
BCO_USD,15m,5.0,0.75,0.0,2.0->1.0,274,23.7,11.9,0.47,-10.48,0.051,5.8,17.9,34.3,42.0,0,-1.16,-37.81,1.63,49.71
BCO_USD,15m,5.0,1.0,-0.3,2.0->1.0,217,32.3,36.28,1.27,-11.74,0.158,9.7,22.6,18.0,49.8,0,-0.36,-13.43,1.63,49.71
BCO_USD,15m,5.0,1.0,-0.2,2.0->1.0,235,28.5,23.66,0.85,-11.91,0.105,8.9,19.6,22.1,49.4,0,-0.78,-26.05,1.63,49.71
BCO_USD,15m,5.0,1.0,-0.1,2.0->1.0,237,27.8,27.44,0.96,-11.12,0.116,8.9,19.0,22.8,49.4,0,-0.67,-22.27,1.63,49.71
BCO_USD,15m,5.0,1.0,0.0,2.0->1.0,240,27.5,31.83,1.09,-10.49,0.129,8.8,18.8,22.9,49.6,0,-0.54,-17.88,1.63,49.71
BCO_USD,15m,5.0,1.5,-0.3,2.0->1.0,210,33.3,33.44,1.16,-12.45,0.155,11.0,22.4,7.1,59.5,0,-0.47,-16.27,1.63,49.71
BCO_USD,15m,5.0,1.5,-0.2,2.0->1.0,210,34.3,40.99,1.36,-12.09,0.181,11.0,23.3,7.1,58.6,0,-0.27,-8.72,1.63,49.71
BCO_USD,15m,5.0,1.5,-0.1,2.0->1.0,215,35.3,50.14,1.58,-12.62,0.206,10.7,24.7,7.9,56.7,0,-0.05,0.43,1.63,49.71
BCO_USD,15m,5.0,1.5,0.0,2.0->1.0,216,34.3,45.26,1.47,-12.27,0.19,10.6,23.6,7.9,57.9,0,-0.16,-4.45,1.63,49.71
