strategy,tf,label,di,rr,persist,adx_min,adx_rising,di_slope,trades,win_rate,roi,sharpe,max_dd,pvt_threshold,pvt_consec
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,3.0,1.0,20.0,False,False,116,19.8,-22.5,-2.23,-32.03,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),30.0,8.0,2.0,20.0,False,False,52,7.7,-16.02,-2.23,-22.75,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,8.0,1.0,20.0,False,False,52,7.7,-16.02,-2.24,-27.27,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),25.0,3.0,1.0,0.0,True,True,116,19.8,-22.5,-2.24,-28.36,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),25.0,8.0,2.0,0.0,True,True,77,7.8,-22.26,-2.25,-35.96,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),30.0,8.0,2.0,15.0,False,False,52,7.7,-16.02,-2.26,-24.29,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),25.0,8.0,2.0,0.0,True,False,64,7.8,-18.79,-2.27,-29.43,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,5.0,1.0,0.0,True,False,56,12.5,-14.01,-2.27,-23.77,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),25.0,5.0,2.0,0.0,False,True,82,12.2,-21.0,-2.31,-28.34,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),25.0,6.0,1.0,20.0,True,True,97,10.3,-25.3,-2.31,-32.17,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),35.0,8.0,1.0,20.0,True,False,52,7.7,-16.02,-2.32,-27.02,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),25.0,4.0,1.0,0.0,True,True,86,15.1,-20.05,-2.33,-26.01,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,3.0,1.0,20.0,False,True,107,19.6,-21.62,-2.34,-28.57,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),25.0,3.0,2.0,20.0,True,True,126,19.8,-24.13,-2.35,-32.07,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),25.0,8.0,1.0,15.0,True,False,65,7.7,-19.6,-2.37,-30.84,,
PVTScalping,1h,1H (Feb 2025+),,3.0,,,,,92,19.6,-19.08,-2.38,-21.34,0.01,1.0
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),25.0,8.0,2.0,15.0,True,False,65,7.7,-19.6,-2.38,-30.84,,
PVTScalping,1h,1H (Feb 2025+),,3.0,,,,,92,19.6,-19.08,-2.39,-21.34,0.05,3.0
PVTScalping,1h,1H (Feb 2025+),,3.0,,,,,92,19.6,-19.08,-2.4,-21.34,0.05,2.0
PVTScalping,1h,1H (Feb 2025+),,3.0,,,,,92,19.6,-19.08,-2.41,-22.13,0.1,3.0
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,6.0,1.0,20.0,True,False,89,10.1,-24.39,-2.43,-32.03,,
