symbol,timeframe,di_threshold,rr,di_persist,period,trades,wins,win_rate,roi,sharpe,max_dd
AU200_AUD,15m,30.0,3.0,1,2025-09-02 → 2026-02-27,111,28,25.2,-0.65,-0.06,-17.68
AU200_AUD,15m,30.0,3.0,2,2025-09-02 → 2026-02-27,73,16,21.9,-9.51,-1.31,-14.6
AU200_AUD,15m,30.0,3.5,1,2025-09-02 → 2026-02-27,111,20,18.0,-20.27,-2.0,-26.91
AU200_AUD,15m,30.0,3.5,2,2025-09-02 → 2026-02-27,65,13,20.0,-7.26,-1.04,-15.02
AU200_AUD,15m,30.0,4.0,1,2025-09-02 → 2026-02-27,94,14,14.9,-22.5,-2.58,-29.71
AU200_AUD,15m,30.0,4.0,2,2025-09-02 → 2026-02-27,70,14,20.0,-1.36,-0.15,-14.16
AU200_AUD,15m,30.0,4.5,1,2025-09-02 → 2026-02-27,69,14,20.3,6.55,0.71,-18.21
AU200_AUD,15m,30.0,4.5,2,2025-09-02 → 2026-02-27,58,12,20.7,6.81,0.8,-17.9
AU200_AUD,15m,30.0,5.0,1,2025-09-02 → 2026-02-27,81,12,14.8,-10.24,-1.07,-20.54
AU200_AUD,15m,30.0,5.0,2,2025-09-02 → 2026-02-27,55,7,12.7,-13.14,-2.1,-19.26
AU200_AUD,15m,35.0,1.5,1,2025-09-02 → 2026-02-27,132,54,40.9,2.03,0.19,-14.09
AU200_AUD,15m,35.0,1.5,2,2025-09-02 → 2026-02-27,100,42,42.0,4.33,0.51,-13.35
AU200_AUD,15m,35.0,2.0,1,2025-09-02 → 2026-02-27,106,34,32.1,-4.91,-0.54,-17.56
AU200_AUD,15m,35.0,2.0,2,2025-09-02 → 2026-02-27,80,29,36.2,6.37,0.82,-10.55
AU200_AUD,15m,35.0,2.5,1,2025-09-02 → 2026-02-27,105,31,29.5,2.2,0.21,-19.98
AU200_AUD,15m,35.0,2.5,2,2025-09-02 → 2026-02-27,68,22,32.4,8.43,1.13,-9.87
AU200_AUD,15m,35.0,3.0,1,2025-09-02 → 2026-02-27,81,20,24.7,-2.17,-0.25,-15.16
AU200_AUD,15m,35.0,3.0,2,2025-09-02 → 2026-02-27,54,13,24.1,-2.74,-0.47,-15.81
AU200_AUD,15m,35.0,3.5,1,2025-09-02 → 2026-02-27,80,14,17.5,-16.62,-2.09,-22.16
AU200_AUD,15m,35.0,3.5,2,2025-09-02 → 2026-02-27,48,8,16.7,-11.91,-2.49,-17.77
AU200_AUD,15m,35.0,4.0,1,2025-09-02 → 2026-02-27,69,11,15.9,-14.06,-2.06,-21.82
AU200_AUD,15m,35.0,4.0,2,2025-09-02 → 2026-02-27,46,7,15.2,-11.08,-2.3,-17.79
AU200_AUD,15m,35.0,4.5,1,2025-09-02 → 2026-02-27,60,9,15.0,-10.99,-1.63,-14.41
AU200_AUD,15m,35.0,4.5,2,2025-09-02 → 2026-02-27,41,7,17.1,-3.3,-0.64,-13.34
AU200_AUD,15m,35.0,5.0,1,2025-09-02 → 2026-02-27,52,7,13.5,-10.48,-1.7,-15.95
AU200_AUD,15m,35.0,5.0,2,2025-09-02 → 2026-02-27,39,4,10.3,-14.5,-3.63,-17.74
